year,stem_code,stem_component,vacancies,first_choice_applicants,placements,remaining_vacancies,national_placements,placement_share,occupancy_rate,first_choice_pressure,placement_yoy_change,placement_change_from_start
2017,05,"Natural sciences, mathematics and statistics",4045,3749,3816,241,44914,0.08496237253,0.9433868974,0.9268232386,,0
2017,06,Information and communication technologies,1028,807,820,210,44914,0.01825711359,0.7976653696,0.7850194553,,0
2017,07,"Engineering, manufacturing and construction",11582,10144,9290,2314,44914,0.2068397382,0.8021067173,0.8758418235,,0
2018,05,"Natural sciences, mathematics and statistics",4115,3905,3837,292,43992,0.08722040371,0.9324422843,0.9489671932,0.005503144654,0.005503144654
2018,06,Information and communication technologies,1079,665,763,317,43992,0.01734406256,0.7071362373,0.6163113994,-0.06951219512,-0.06951219512
2018,07,"Engineering, manufacturing and construction",11615,9096,8939,2693,43992,0.2031960356,0.7696082652,0.783125269,-0.03778256189,-0.03778256189
2020,05,"Natural sciences, mathematics and statistics",4711,4199,4456,322,50964,0.08743426733,0.9458713649,0.8913181915,,0.1677148847
2020,06,Information and communication technologies,1280,949,999,291,50964,0.01960207205,0.78046875,0.74140625,,0.2182926829
2020,07,"Engineering, manufacturing and construction",12980,11077,10431,2626,50964,0.2046738874,0.8036209553,0.8533898305,,0.1228202368
2021,05,"Natural sciences, mathematics and statistics",4288,4522,3966,344,49452,0.08019898083,0.9249067164,1.054570896,-0.1099640934,0.0393081761
2021,06,Information and communication technologies,1458,830,1092,369,49452,0.02208201893,0.7489711934,0.5692729767,0.09309309309,0.3317073171
2021,07,"Engineering, manufacturing and construction",12846,9901,9634,3266,49452,0.1948151743,0.7499610774,0.7707457574,-0.07640686415,0.03702906351
2022,05,"Natural sciences, mathematics and statistics",4088,4002,3847,256,49806,0.07723969,0.9410469667,0.978962818,-0.03000504286,0.008123689727
2022,06,Information and communication technologies,1631,1383,1349,289,49806,0.02708509015,0.8270999387,0.8479460454,0.2353479853,0.6451219512
2022,07,"Engineering, manufacturing and construction",12580,10570,9913,2693,49806,0.1990322451,0.7879968203,0.8402225755,0.02895993357,0.0670613563
2023,05,"Natural sciences, mathematics and statistics",4077,3557,3721,370,49438,0.07526598972,0.9126808928,0.8724552367,-0.03275279439,-0.0248951782
2023,06,Information and communication technologies,1786,1335,1447,344,49438,0.02926898337,0.8101903695,0.7474804031,0.07264640474,0.7646341463
2023,07,"Engineering, manufacturing and construction",12492,10190,9816,2688,49438,0.1985517213,0.7857829011,0.8157220621,-0.009785130637,0.05662002153
2024,05,"Natural sciences, mathematics and statistics",4148,3435,3677,475,49963,0.0735944599,0.8864513018,0.8281099325,-0.01182477829,-0.03642557652
2024,06,Information and communication technologies,1803,1375,1460,346,49963,0.029221624,0.8097615086,0.7626178591,0.008984105045,0.7804878049
2024,07,"Engineering, manufacturing and construction",12445,10906,10228,2230,49963,0.2047114865,0.8218561671,0.8763358779,0.04197229014,0.1009687836
2025,05,"Natural sciences, mathematics and statistics",4137,2621,2990,1148,43899,0.06811089091,0.7227459512,0.6335508823,-0.1868370955,-0.2164570231
2025,06,Information and communication technologies,1900,931,1064,836,43899,0.02423745416,0.56,0.49,-0.2712328767,0.2975609756
2025,07,"Engineering, manufacturing and construction",12434,9415,9129,3310,43899,0.2079546231,0.7341965578,0.7571980055,-0.1074501369,-0.01733046286
2026,05,"Natural sciences, mathematics and statistics",4215,3192,3557,669,49991,0.07115280751,0.843890866,0.7572953737,0.189632107,-0.0678721174
2026,06,Information and communication technologies,1693,961,1312,383,49991,0.02624472405,0.7749556999,0.5676314235,0.2330827068,0.6
2026,07,"Engineering, manufacturing and construction",12822,10950,10312,2522,49991,0.2062771299,0.8042427078,0.8540009359,0.1295870303,0.1100107643
